2014-07-17-04 AM,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,81605,119515,201120
2014-07-17-04 AM,DKI JAKARTA,JAKARTA UTARA,KOJA,76160,79492,155652
2014-07-17-04 AM,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,20496,30787,51283
2014-07-17-04 AM,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,93992,169742,263734
2014-07-17-04 AM,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,26630,26216,52846
2014-07-17-04 AM,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,34891,89315,124206
2014-07-17-04 AM,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,0,0,0
2014-07-17-04 AM,DKI JAKARTA,JAKARTA PUSAT,MENTENG,24676,22392,47068
2014-07-17-04 AM,DKI JAKARTA,KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,4684,4977,9661
2014-07-17-04 AM,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,22434,54308,76742
2014-07-17-04 AM,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,57222,70723,127945
2014-07-17-04 AM,DKI JAKARTA,JAKARTA UTARA,CILINCING,93382,93794,187176
2014-07-17-04 AM,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,61233,79413,140646
2014-07-17-04 AM,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,25556,56042,81598
2014-07-17-04 AM,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,0,0,0
2014-07-17-04 AM,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,43759,114244,158003
2014-07-17-04 AM,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,85216,78402,163618
2014-07-17-04 AM,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,0,0,0
2014-07-17-04 AM,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,81193,94976,176169
2014-07-17-04 AM,DKI JAKARTA,JAKARTA SELATAN,SETIABUDI,0,0,0
