KecamatanName,PrabowoHattaVotes,JokowiKallaVotes,TotalVotes
KUALA,4215,2235,6450
PEUSANGAN SELATAN,3085,2060,5145
SAMALANGA,6185,3652,9837
PANDRAH,2018,1335,3353
BLANG PIDIE,4780,3709,8489
PULAU BANYAK BARAT,370,654,1024
JANGKA,5432,4381,9813
JEUMPA,2860,1536,4396
JEUNIEB,7878,3096,10974
SUSOH,4895,5305,10200
SIMPANG MAMPLAM,4639,4356,8995
KUTAPANJANG,1536,2498,4034
TERANGUN,2187,2268,4455
PINING,680,1444,2124
MANGGENG,3479,2648,6127
KUTA BLANG,5773,2745,8518
BABAH ROT,2284,3615,5899
LEMBAH SABIL,0,0,0
BLANGKEJEREN,0,0,0
PUTERI BETUNG,1259,2673,3932
SETIA BAKTI,1729,1593,3322
PANTAN CUACA,714,1561,2275
RIKIT GAIB,0,0,0
BLANGJERANGO,1201,2483,3684
KUALA BATEE,3972,3536,7508
SETIA,1239,1627,2866
TADU RAYA,3129,3235,6364
PASIE RAYA,0,0,0
JAYA,5321,2147,7468
TERIPE JAYA,0,0,0
INDRA JAYA,2307,1233,3540
KRUENG SABEE,0,0,0
DARUL HIKMAH,1779,1271,3050
BLANGPEGAYON,1155,1465,2620
DABUN GELANG,1233,1499,2732
KUALA,4447,4269,8716
BEUTONG ATEUH BANGGALANG,308,553,861
KUALA PESISIR,4204,3819,8023
TEUNOM,3345,3199,6544
BEUTONG,2308,4007,6315
TRIPA MAKMUR,1932,1612,3544
PANGA,1458,1992,3450
DARUL MAKMUR,10555,9416,19971
SUKA MAKMUE,2077,2852,4929
SEUNAGAN TIMUR,3125,4321,7446
MANYAK PAYED,7261,4187,11448
SAMPOINIET,1453,1618,3071
KEJURUAN MUDA,9005,5757,14762
SERUWAY,6817,4801,11618
SEUNAGAN,3480,4764,8244
BANDAR PUSAKA,3303,2136,5439
KOTA KUALASIMPANG,4391,2982,7373
TENGGULUN,3867,2994,6861
RANTAU,10874,4766,15640
TAMIANG HULU,5532,2790,8322
SEKERAK,1990,1106,3096
BENDAHARA,5617,2931,8548
BUKIT,0,0,0
MESIDAH,635,1445,2080
BANDA MULIA,3180,1373,4553
KARANG BARU,12432,5320,17752
BANDAR,0,0,0
BENER KELIPAH,759,1531,2290
MEUREUDU,3636,4771,8407
TIMANG GAJAH,0,0,0
KUTA ALAM,8282,6568,14850
WIH PESAM,5304,5670,10974
MEURAH DUA,2344,2740,5084
PINTU RIME GAYO,1965,3742,5707
TRIENGGADENG,3869,4105,7974
LUENG BATA,4387,3644,8031
PERMATA,0,0,0
JANGKA BUYA,1195,2071,3266
SYIAH KUALA,6280,4618,10898
GAJAH PUTIH,0,0,0
SYIAH UTAMA,300,653,953
JAYA BARU,4594,3471,8065
ULEE KARENG,5028,3950,8978
BAITURRAHMAN,6679,5261,11940
BANDAR BARU,6010,6710,12720
MUARA DUA,9299,4709,14008
ULIM,1917,3794,5711
BANDAR DUA,3590,4847,8437
SUKAJAYA,3746,2619,6365
SUKAKARYA,3555,2918,6473
BLANG MANGAT,4426,3013,7439
LANGSA KOTA,8533,4667,13200
RUNDENG,3764,1685,5449
LANGSA BARO,14232,5092,19324
PANTERAJA,1521,1300,2821
MEURAXA,3215,3080,6295
LONGKIB,1494,1039,2533
SIMPANG KIRI,7966,4310,12276
TUKKA,1587,3496,5083
BANDA RAYA,5642,3709,9351
KUTA RAJA,1716,1702,3418
LANGSA TIMUR,3639,1838,5477
MUARA SATU,5999,3257,9256
BADIRI,2631,6471,9102
PENANGGALAN,3299,2038,5337
SUKA BANGUN,340,1114,1454
BANDA SAKTI,14892,8317,23209
SITAHUIS,0,0,0
SORKAM,0,0,0
LANGSA BARAT,6976,3235,10211
LANGSA LAMA,9313,3508,12821
ANDAM DEWI,1407,4863,6270
SORKAM BARAT,2183,4574,6757
SULTAN DAULAT,3649,2204,5853
TAPIAN NAULI,2000,6211,8211
GAROGA,914,6395,7309
LUMUT,992,3857,4849
BARUS,3972,2833,6805
TARUTUNG,2140,16837,18977
KOLANG,1291,6367,7658
PANDAN,0,0,0
BARUS UTARA,240,2040,2280
PINANGSORI,2315,6550,8865
SOSOR GADONG,0,0,0
SIMANGUMBAN,677,2716,3393
PANGARIBUAN,929,11370,12299
PASARIBU TOBING,0,0,0
SIBABANGUN,2050,5479,7529
ANGKOLA BARAT,8823,2362,11185
